cohort,persona,policy,loop,median_rank,top1,top3,top10,surfaced_rate,median_realized_bits,median_cumulative_bits
development,default,passive,15,2397.5,0.0,0.0,0.0,0.0,0.0002374361213,0.01027426272
development,default,targeted,1,4260.5,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
development,default,targeted,2,3913.0,0.0,0.0,0.0,0.0,0.0004294641847,0.008463782745
development,default,targeted,3,2465.5,0.0,0.0,0.0,0.0,0.0006257088064,0.009089491551
development,default,targeted,4,2487.5,0.0,0.0,0.0,0.0,0.002200201764,0.01128969332
development,default,targeted,5,1315.0,0.0,0.0,0.0,0.0,-0.001071553303,0.01021814001
development,default,targeted,6,2369.5,0.0,0.0,0.0,0.0,0.0005045864197,0.01072272643
development,default,targeted,7,2598.0,0.0,0.0,0.0,0.0,0.0004467275348,0.01116945397
development,default,targeted,8,2406.5,0.0,0.0,0.0,0.0,3.167110621e-05,0.01120112507
development,default,targeted,9,1789.0,0.0,0.0,0.0,0.0,0.0003672813825,0.01156840646
development,default,targeted,10,1611.5,0.0,0.0,0.0,0.0,0.00100626185,0.0125746683
development,default,targeted,11,1613.0,0.0,0.0,0.0,0.0,0.001336778613,0.01391144692
development,default,targeted,12,2256.0,0.0,0.0,0.0,0.0,0.0006329178839,0.0145443648
development,default,targeted,13,1920.5,0.0,0.0,0.0,0.0,0.001537675177,0.01608203998
development,default,targeted,14,1701.0,0.0,0.0,0.0,0.0,0.0004557389162,0.01653777889
development,default,targeted,15,1877.0,0.0,0.0,0.0,0.0,0.00011308392,0.01665086281
heldout,default,active,1,1835.5,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
heldout,default,active,2,734.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.002041121165,0.01007543973
heldout,default,active,3,891.5,0.0,0.0,0.05555555555555555,0.1111111111111111,0.000337688127,0.01041312785
heldout,default,active,4,574.5,0.0,0.0,0.0,0.1111111111111111,0.0009307083167,0.01134383617
heldout,default,active,5,651.0,0.0,0.0,0.027777777777777776,0.1388888888888889,-0.0006333205174,0.01071051565
heldout,default,active,6,767.0,0.0,0.0,0.027777777777777776,0.1388888888888889,0.0002181626134,0.01092867827
heldout,default,active,7,1025.5,0.0,0.0,0.027777777777777776,0.1388888888888889,0.0002034031584,0.01113208142
heldout,default,active,8,842.0,0.0,0.027777777777777776,0.027777777777777776,0.1388888888888889,0.0001892158515,0.01132129728
heldout,default,active,9,964.5,0.0,0.027777777777777776,0.08333333333333333,0.16666666666666666,0.0007742329745,0.01209553025
heldout,default,active,10,1057.5,0.0,0.027777777777777776,0.08333333333333333,0.19444444444444445,0.0002905269479,0.0123860572
heldout,default,active,11,1118.5,0.0,0.027777777777777776,0.1111111111111111,0.2222222222222222,0.0007607118162,0.01314676901
heldout,default,active,12,1226.5,0.0,0.027777777777777776,0.05555555555555555,0.25,0.001847755185,0.0149945242
heldout,default,active,13,935.0,0.0,0.0,0.08333333333333333,0.25,0.000831812211,0.01582633641
heldout,default,active,14,883.0,0.0,0.027777777777777776,0.1388888888888889,0.3055555555555556,0.0008037276646,0.01663006407
heldout,default,active,15,794.5,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.3055555555555556,0.000571596267,0.01720166034
heldout,default,greedy,1,2247.5,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,,
heldout,default,greedy,2,2129.5,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,,
heldout,default,greedy,3,3423.0,0.0,0.0,0.027777777777777776,0.027777777777777776,,
heldout,default,greedy,4,3077.5,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,,
heldout,default,greedy,5,2196.5,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,,
heldout,default,greedy,6,1398.5,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.08333333333333333,,
heldout,default,greedy,7,2485.0,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.08333333333333333,,
heldout,default,greedy,8,3166.0,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,,
heldout,default,greedy,9,2786.0,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.1388888888888889,,
heldout,default,greedy,10,2029.5,0.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,,
heldout,default,greedy,11,2348.0,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.1388888888888889,,
heldout,default,greedy,12,2491.0,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.1388888888888889,,
heldout,default,greedy,13,2371.0,0.027777777777777776,0.08333333333333333,0.1111111111111111,0.1388888888888889,,
heldout,default,greedy,14,1710.5,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.1388888888888889,,
heldout,default,greedy,15,1459.0,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.1388888888888889,,
heldout,default,passive,1,1651.0,0.0,0.0,0.0,0.0,0.003700167295,0.003700167295
heldout,default,passive,2,1769.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.001587518214,0.00528768551
heldout,default,passive,3,3145.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0006595479506,0.00594723346
heldout,default,passive,4,2203.0,0.0,0.027777777777777776,0.08333333333333333,0.08333333333333333,7.343942674e-06,0.005954577403
heldout,default,passive,5,1716.5,0.0,0.0,0.05555555555555555,0.08333333333333333,0.002354470268,0.008309047671
heldout,default,passive,6,3494.5,0.0,0.027777777777777776,0.027777777777777776,0.08333333333333333,-0.0001592298357,0.008149817835
heldout,default,passive,7,3139.5,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,7.383017295e-05,0.008223648008
heldout,default,passive,8,2493.0,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.000510383192,0.0087340312
heldout,default,passive,9,2584.0,0.0,0.0,0.0,0.1111111111111111,2.742308502e-05,0.008761454285
heldout,default,passive,10,2320.5,0.0,0.0,0.027777777777777776,0.1111111111111111,0.00026632656,0.009027780845
heldout,default,passive,11,3007.0,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,-0.0001149330254,0.00891284782
heldout,default,passive,12,3084.0,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.000660329275,0.009573177095
heldout,default,passive,13,2050.0,0.0,0.0,0.027777777777777776,0.1111111111111111,9.839070545e-05,0.0096715678
heldout,default,passive,14,2412.0,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0003652587947,0.01003682659
heldout,default,passive,15,2335.0,0.0,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.0002374361213,0.01027426272
heldout,default,targeted,1,1835.5,0.0,0.0,0.0,0.0,0.00803431856,0.00803431856
heldout,default,targeted,2,2352.5,0.0,0.0,0.0,0.0,0.0004294641847,0.008463782745
